China,1.68,0,55.6,41,19000
United Kingdom,10.9,0,81.3,77,200
Bangladesh,0.23,5,44.1,26,13700
Ethiopia,0,26.1,16.1,37,9000
India,1,1.7,24.1,41,11700
Vietnam,1.77,10.9,49.7,37,15000
Indonesia,3.38,3.7,53.6,40,18000
Sri Lanka,1.03,10.7,59.2,38,11200
Phillipines,3.32,9,66.2,34,18000
Pakistan,2.62,13,46.9,32,10500
Turkey,9.43,2.6,69.8,39,5700
Western Europe,10,0,85,75,1000
USA,7.25,0,92.9,69,6000
Australia,12.4,0,79.8,77,21500
New Zealand,12.2,0,78.9,87,21500
Middle East,3,1,80,50,11600
Russia,2.97,0,92.2,28,6700
Eastern Europe,8,2,85,40,2500